id;Firstname;Lastname;Adress;RegistrationDate;Revenue;States
39;Theodore;Ford;Santa Rosa North;22/01/1998;58669;MO
40;Franklin;Hoover;East Fry Blvd.;28/01/1998;24559;NH
41;Andrew;Coolidge;Santa Rosa North;06/08/2004;31014;IN
42;Grover;Eisenhower;Erringer Road;26/05/1998;86940;TN
43;Franklin;Kennedy;120th;14/11/2002;95713;OH
44;Rutherford;Arthur;San Marcos;19/11/2000;21519;MS
45;Abraham;Fillmore;N Harrison St;09/07/2006;88218;MN
46;Ronald;Cleveland;Bowles Avenue;05/01/2004;12285;MS
47;Warren;Monroe;Harry S Truman Blvd;01/09/2001;96408;CO
48;Gerald;Fillmore;North Atherton Street;22/01/2003;35282;WI
49;Ronald;Jackson;South Roosevelt Drive;27/03/1999;60169;WI
50;Richard;Cleveland;Timberlane Drive;09/04/2000;93812;ND
51;Lyndon;Jackson;East Calle Primera;02/12/2002;12211;VA
52;Dwight;Polk;Santa Ana Freeway;23/08/2002;14880;UT
53;Grover;Hayes;San Diego Freeway;21/10/2000;60131;WY
54;Lyndon;Fillmore;Via Real;03/05/1998;66896;VA
55;William;Tyler;Newbury Road;30/07/1998;19747;KY
56;Andrew;Truman;East 1st Street;13/09/2001;58595;IL
57;Benjamin;Van Buren;Katella Avenue;12/05/2004;49661;MN
58;John;McKinley;Carpinteria Avenue;14/12/2004;69271;OR
59;Lyndon;Eisenhower;S Rustle St;19/03/2001;37076;NH
60;Millard;Hoover;Santa Ana Freeway;15/06/1998;20187;NH
61;Thomas;Tyler;Hutchinson Rd;16/03/2006;74872;CA
62;Theodore;Monroe;Erringer Road;07/08/2005;67294;LA
63;Abraham;Roosevelt;Cleveland Ave.;26/02/2000;49924;WI
64;Herbert;Pierce;Camelback Rd;23/05/2006;15158;IN
65;Bill;Hoover;Fairview Avenue;15/12/2006;52679;MN
66;Andrew;Eisenhower;North Atherton Street;28/07/2001;92175;CO
67;Dwight;Hayes;Jean de la Fontaine;02/08/1998;77956;MN
68;Jimmy;Hoover;124th;31/05/2001;26998;MS
69;Gerald;Johnson;Camelback Rd;28/08/2003;97045;ND
70;Chester;Carter;San Marcos;19/02/2002;26246;NY
71;Lyndon;Adams;Steele Lane;07/09/2005;51001;KY
72;George;Roosevelt;Harbor Dr;08/12/2003;53440;AR
73;Rutherford;Cleveland;N Kentwood;28/11/1999;35233;TN
74;Bill;Monroe;Via Real;25/08/1998;19198;OR
75;Ulysses;Ford;Via Real;05/10/2001;45315;GA
76;Theodore;Truman;Burnett Road;12/01/1999;72694;FL
77;Abraham;Quincy Adams;Harbor Dr;27/12/2006;94062;CT
78;George;Grant;Carpinteria North;03/09/2001;94337;WI
79;James;Fillmore;Harry S Truman Blvd;10/05/2002;69840;NM
80;Lyndon;Harding;Tanger Blvd;16/07/2000;99720;SD
81;Harry;Monroe;Bailard Avenue;30/12/1999;56145;WI
82;Andrew;Polk;Erringer Road;12/02/2006;24826;MA
83;Lyndon;Johnson;North Broadway Street;21/05/2005;32428;SC
84;Gerald;Tyler;Newbury Road;19/03/1998;62460;TX
85;Lyndon;Hoover;Cerrillos Road;13/12/1999;36153;RI
86;Herbert;Quincy Adams;15th;07/05/2001;19948;LA
87;Millard;Roosevelt;Cabrillo Highway;05/04/2001;66121;MA
88;Warren;Nixon;Hutchinson Rd;25/10/2003;38095;MN
89;Chester;Monroe;Richmond Hill;03/12/2002;87050;MN
90;Richard;Fillmore;San Luis Obispo North;28/04/1999;61353;OH
91;Millard;McKinley;15th;03/01/2001;45379;ID
92;Chester;Roosevelt;Corona Del Mar;11/04/1998;39295;SD
93;Rutherford;McKinley;Fairview Avenue;08/03/1999;76355;CO
94;Grover;Harrison;Tully Road East;15/09/1999;49293;NJ
95;Chester;Clinton;Camelback Rd;27/05/2001;92340;MT
96;Millard;Reagan;Castillo Drive;13/10/2004;70469;IL
97;James;Garfield;124th;15/04/2001;12389;MO
98;Zachary;Harding;Jones Road;03/01/2000;38888;AR
99;Thomas;Cleveland;Fontaine Road;30/01/2004;93068;GA
100;Benjamin;Kennedy;East 1st Street;12/12/1999;94013;IL
101;John;Pierce;San Marcos;29/03/2000;10521;TX
102;John;Reagan;South Roosevelt Drive;09/09/2005;26380;AK
103;Bill;Cleveland;124th;07/09/1998;23801;FL
104;Millard;Polk;Carpinteria Avenue;15/11/2004;86564;NY
105;Bill;Van Buren;East Fry Blvd.;07/08/2002;79423;WY
106;Franklin;Washington;East Calle Primera;27/04/2004;95361;ME
107;Richard;Harding;S Rustle St;18/12/1999;97204;SC
108;Rutherford;Nixon;Tully Road East;07/05/2005;95241;OR
109;Thomas;Taylor;15th;05/08/2004;87317;MT
110;James;Harrison;North Erringer Road;31/08/2002;23040;WA
111;Gerald;Monroe;Santa Rosa South;01/12/2003;98622;MO
112;Grover;Washington;Greenwood Road;29/11/2006;23908;WY
113;Woodrow;Lincoln;Burnett Road;10/04/2002;88226;TX
114;Martin;Lincoln;124th;30/10/2000;56497;NH
115;Calvin;Madison;North Broadway Street;30/11/2006;72315;SC
116;Dwight;Harding;Santa Ana Freeway;09/01/2000;49416;WA
117;Harry;Quincy Adams;N Harrison St;09/08/2001;18217;KY
118;Chester;Johnson;Carpinteria Avenue;21/05/2002;68917;IA
119;Dwight;Taylor;Santa Monica Road;27/10/2006;17728;VA
120;George;Adams;Moreno Drive;21/02/2006;47851;AZ
121;Abraham;Ford;North Broadway Street;17/08/2001;21675;OR
122;George;Fillmore;Santa Rosa North;29/06/2006;65852;NV
123;Rutherford;Eisenhower;Cleveland Ave.;13/02/2004;35735;RI
124;Gerald;Garfield;Carpinteria Avenue;26/11/2006;10788;NE
125;Richard;Johnson;Carpinteria North;19/07/2004;57516;ND
126;John;Grant;Tanger Blvd;09/01/2000;61463;NC
127;Andrew;Nixon;Katella Avenue;11/01/2003;24872;SD
128;Harry;Roosevelt;Cabrillo Highway;17/03/1999;11543;PA
129;Benjamin;Cleveland;Bowles Avenue;22/11/1998;45469;KS
130;Andrew;Ford;Pacific Hwy S;07/09/2003;44780;VT
131;Andrew;Taylor;San Simeon;25/08/2003;97614;MO
132;Zachary;Garfield;East 1st Street;07/05/2005;81422;CA
133;William;Jefferson;E Fowler Avenue;08/08/2005;12309;TN
134;Lyndon;Fillmore;East Main Street;24/02/2001;35941;SD
135;George;Wilson;Camelback Rd;24/01/2003;96600;KY
136;James;Harrison;San Ysidro Blvd;26/02/2002;85963;KY
137;William;Grant;120th;13/03/1998;58117;MO
138;Lyndon;Arthur;Lawrenceville Suwanee;08/03/2003;52454;UT
139;William;Fillmore;Bayshore Freeway;26/06/2005;10909;WY
140;Martin;Garfield;Timberlane Drive;07/02/2003;51190;PA
141;Jimmy;Kennedy;Fairview Avenue;08/11/2002;52517;RI
142;Warren;Quincy Adams;Apalachee Parkway;02/10/2003;75435;IN
143;Warren;Cleveland;East Fry Blvd.;13/05/2005;32286;OK
144;Harry;Kennedy;15th;12/06/2005;39880;RI
145;Theodore;Truman;Padre Boulevard;31/07/2000;50938;WY
146;Thomas;Roosevelt;San Ysidro Blvd;04/03/1999;15861;IN
147;Andrew;Harding;North Erringer Road;10/07/2006;71400;CO
148;John;Garfield;Richmond Hill;02/05/2000;27784;MI
149;John;Washington;French Camp Turnpike Road;18/04/2000;80862;MI
150;Bill;Harrison;Katella Avenue;18/03/1998;40830;ND
151;Thomas;Monroe;Via Real;11/04/2005;84106;GA
152;Ronald;Tyler;Castillo Drive;11/12/2000;49897;AL
153;Martin;Harrison;Moreno Drive;28/12/2003;18066;GA
154;Harry;Reagan;Tanger Blvd;26/03/2005;89800;NY
155;Gerald;Tyler;East Fry Blvd.;24/07/2000;37672;AZ
156;Franklin;Kennedy;Jones Road;10/08/1998;76704;PA
157;Abraham;Taft;Bailard Avenue;30/10/1998;92887;MI
158;Chester;Nixon;120th;27/04/2003;20835;PA
159;Grover;Washington;120th;20/01/2004;57052;AR
160;Thomas;Tyler;Bayshore Freeway;02/12/1999;70419;MA
161;Martin;Clinton;Lindbergh Blvd;13/04/2003;46450;MO
162;Warren;Madison;French Camp Turnpike Road;18/05/2000;26875;MA
163;Zachary;Quincy Adams;French Camp Turnpike Road;20/04/2005;31121;AL
164;Zachary;Cleveland;Lawrenceville Suwanee;21/11/2000;41259;IA
165;Harry;Buchanan;Fontaine Road;02/04/2005;86940;AR
166;Thomas;Harding;Jean de la Fontaine;13/04/2003;61963;VA
167;James;Truman;North Ventu Park Road;06/11/1999;28932;OH
168;Herbert;Eisenhower;Castillo Drive;16/01/2006;13663;MN
169;James;Taylor;Fairview Avenue;18/03/1999;45843;TX
170;Grover;Pierce;French Camp Turnpike Road;30/12/2000;77511;MO
171;Franklin;Reagan;Cleveland Ave.;09/05/1999;85963;WY
172;Ulysses;Lincoln;Carpinteria North;26/07/2002;82576;MA
173;Ronald;Adams;S Rustle St;13/04/2005;64190;ME
174;Millard;Tyler;Harbor Dr;13/09/2001;78544;MD
175;Dwight;Arthur;San Luis Obispo North;20/09/2005;80365;NY
176;Zachary;McKinley;East 1st Street;28/05/2006;19665;NJ
177;Thomas;Reagan;Bayshore Freeway;08/06/1998;18819;GA
178;Martin;Taylor;Apalachee Parkway;26/11/2006;89948;NY
179;Richard;Pierce;Monroe Street;25/03/2003;59216;AL
180;Gerald;McKinley;Bayshore Freeway;02/06/2000;49595;HI
181;Dwight;Nixon;Newbury Road;16/07/1999;28613;HI
182;William;Reagan;North Ventu Park Road;03/08/2003;32719;TX
183;Benjamin;Grant;Camelback Rd;23/08/2004;24776;NJ
184;Zachary;Ford;Harry S Truman Blvd;28/06/1998;96268;AL
185;John;Nixon;Erringer Road;13/07/2004;60760;MI
186;John;Roosevelt;Steele Lane;24/04/2001;50226;PA
187;Franklin;Hoover;Redwood Highway;10/05/1998;80722;MD
188;Rutherford;Arthur;Monroe Street;23/08/2001;19066;CT
189;Millard;Taft;Pacific Hwy S;15/07/2003;76998;WI
190;Ronald;Polk;Milpas Street;11/05/2006;24441;ID
191;Grover;Jackson;Bailard Avenue;29/06/2003;38413;VT
192;George;Garfield;San Simeon;11/03/1999;29124;NV
193;Franklin;Ford;San Marcos;24/12/1999;89863;HI
194;Ronald;Grant;Camelback Rd;04/11/2004;82208;GA
195;Chester;Garfield;Carpinteria South;22/01/1999;13128;NE
196;James;Truman;120th;31/10/2005;25551;DE
197;James;Johnson;French Camp Turnpike Road;17/09/2002;38946;AZ
198;Dwight;Ford;Corona Del Mar;06/11/1999;21478;IA
199;Lyndon;Jefferson;Moreno Drive;17/01/2006;30327;MT
200;Millard;Taft;North Preisker Lane;23/10/1999;11705;WA
201;John;Nixon;Greenwood Road;26/02/2000;27136;MT
202;Herbert;Harrison;Cabrillo Highway;13/07/2003;87567;MO
203;Woodrow;Garfield;Timberlane Drive;29/07/1998;81895;PA
204;Grover;Fillmore;East Main Street;29/12/2004;61427;MS
205;John;Quincy Adams;Cabrillo Highway;25/05/2006;16872;MS
206;Grover;Coolidge;East Fry Blvd.;11/04/2002;39405;CO
207;Thomas;Adams;Santa Monica Road;30/12/2003;92390;LA
208;William;Harrison;120th;20/01/2002;15295;AZ
209;James;Wilson;Tully Road East;09/05/1999;66398;AR
210;Grover;Cleveland;North Atherton Street;19/10/2002;15784;KS
211;Theodore;Arthur;Padre Boulevard;15/01/2005;65297;WI
212;Chester;Jefferson;Cabrillo Highway;16/07/2001;76882;NE
213;Chester;Reagan;Santa Ana Freeway;03/11/2002;26004;LA
214;Ulysses;Harding;Steele Lane;13/04/2006;51616;PA
215;Benjamin;Van Buren;N Harrison St;07/12/2003;49276;NY
216;Lyndon;Truman;Santa Ana Freeway;15/01/2000;58988;ND
217;Thomas;Van Buren;East Fry Blvd.;05/10/2006;44283;MN
218;Thomas;Wilson;East Main Street;29/06/2000;44165;CA
219;Benjamin;Coolidge;Lake Tahoe Blvd.;05/07/2005;14419;WI
220;William;Kennedy;East Fry Blvd.;14/04/1999;69914;NY
221;Thomas;Harrison;Carpinteria North;09/03/2004;84381;UT
222;William;Buchanan;East Calle Primera;28/11/2005;79313;OK
223;Thomas;Hayes;Harbor Dr;11/05/2000;88484;UT
224;Woodrow;Polk;Hutchinson Rd;14/04/1998;29687;WY
225;Millard;Taft;San Ysidro Blvd;29/06/2001;70238;CT
226;Calvin;Buchanan;Bowles Avenue;09/11/2004;37809;SC
227;Rutherford;Eisenhower;South Highway;06/12/2001;73163;VT
228;Dwight;Wilson;East Calle Primera;13/06/2003;86336;DE
229;Bill;Kennedy;15th;28/06/2001;32854;NJ
230;Grover;Adams;Bayshore Freeway;12/08/2005;11513;HI
231;Woodrow;Washington;Cleveland Ave.;05/09/2002;40317;TX
232;Theodore;Coolidge;Westside Freeway;17/09/2002;42116;AL
233;Herbert;Roosevelt;Richmond Hill;19/07/2004;76522;AL
234;Andrew;Roosevelt;Hutchinson Rd;20/07/1998;89646;KS
235;Martin;Kennedy;Harbor Dr;02/03/2002;28237;MT
236;Millard;Jackson;Katella Avenue;30/08/2002;39776;CO
237;John;McKinley;South Highway;18/09/2000;75089;NM
238;Bill;Hayes;Richmond Hill;30/03/2002;55044;OK
239;Richard;Garfield;Monroe Street;17/03/1999;97891;KS
240;Herbert;Arthur;Richmond Hill;29/08/2002;78802;WA
241;Millard;Cleveland;Lawrenceville Suwanee;04/11/2006;88204;HI
242;Andrew;Wilson;Santa Monica Road;14/08/2001;70408;MN
243;Richard;Van Buren;Via Real;24/12/2001;29168;TX
244;Calvin;Nixon;Newbury Road;17/12/2004;71672;HI
245;Millard;Fillmore;124th;21/09/2004;57565;CO
246;Richard;Pierce;Santa Ana Freeway;23/01/2003;14548;WY
247;John;Jackson;Tully Road East;28/02/2002;97139;MA
248;George;Clinton;Harry S Truman Blvd;10/11/2006;80093;SC
249;Zachary;Harrison;East 1st Street;14/03/2005;43168;RI
250;Theodore;Cleveland;Burnett Road;17/07/1999;78643;KY
251;Richard;Harrison;Cabrillo Highway;17/01/2003;48290;WA
252;John;Johnson;Apalachee Parkway;16/10/2001;11271;PA
253;Herbert;Jefferson;Carpinteria North;17/04/2004;99567;AL
254;Chester;Carter;Lindbergh Blvd;27/09/1998;12480;NY
255;Woodrow;Johnson;French Camp Turnpike Road;01/09/2002;56799;OR
256;Franklin;Pierce;Redwood Highway;20/06/1998;34145;RI
257;Woodrow;Polk;Bayshore Freeway;06/05/2002;62108;IL
258;Herbert;Tyler;San Ysidro Blvd;06/03/2006;80711;MD
259;Dwight;Cleveland;Monroe Street;09/12/2003;60754;WV
260;Martin;Eisenhower;El Camino Real;30/12/2003;95642;KY
261;Thomas;Hayes;North Preisker Lane;08/02/2005;53198;KS
262;Calvin;Tyler;South Highway;08/05/1999;39103;UT
263;James;Taylor;N Kentwood;04/10/2006;88432;RI
264;Zachary;Garfield;Lawrenceville Suwanee;08/01/1998;66926;NE
265;Warren;Johnson;Harbor Dr;27/11/2006;88536;VT
266;Andrew;Taylor;N Harrison St;25/10/2000;90786;AK
267;James;Fillmore;Harry S Truman Blvd;24/02/2000;44522;WY
268;Millard;Eisenhower;El Camino Real;29/10/2005;69653;WA
269;Warren;Cleveland;Steele Lane;29/09/2000;43376;WV
270;Martin;Nixon;Cleveland Ave.;16/05/1998;42497;AR
271;George;Pierce;Jones Road;16/05/1999;36400;MN
272;George;Harrison;Fontaine Road;26/06/2000;82219;TX
273;Ronald;Carter;Jones Road;06/06/2006;68772;HI
274;Andrew;Fillmore;N Harrison St;18/02/2000;80848;OR
275;Dwight;Cleveland;Padre Boulevard;22/01/2002;70365;VA
276;Warren;Harrison;San Ysidro Blvd;14/12/2002;85998;NE
277;Gerald;Buchanan;S Rustle St;15/09/1999;17825;SC
278;Lyndon;Coolidge;N Kentwood;10/09/1999;18552;VT
279;Jimmy;Tyler;Harbor Dr;07/05/1998;17888;NE
280;Millard;Hoover;Santa Ana Freeway;23/03/2002;31615;WI
281;Benjamin;Taft;N Harrison St;12/05/2003;41945;IA
282;Herbert;Harrison;San Luis Obispo North;21/03/2004;70697;AK
283;James;Harrison;N Harrison St;23/12/1998;31871;IL
284;Thomas;Roosevelt;S Rustle St;08/06/2001;75177;IN
285;Warren;Harrison;Santa Ana Freeway;19/05/1998;17086;OH
286;Grover;Eisenhower;Apalachee Parkway;10/08/1999;10975;FL
287;John;Polk;San Diego Freeway;09/06/2000;62888;RI
288;Franklin;Fillmore;Santa Ana Freeway;01/01/2001;94527;RI
289;Thomas;Harrison;Monroe Street;17/01/2006;50007;KS
290;Chester;Buchanan;Grandview Drive;28/07/2005;37946;CT
291;Richard;Carter;Santa Ana Freeway;04/02/2004;95438;DE
292;Herbert;Adams;North Broadway Street;30/09/1999;15498;IL
293;John;Cleveland;Westside Freeway;29/01/1999;84512;CT
294;Benjamin;Jackson;15th;24/10/2004;21280;TX
295;John;Taft;Bowles Avenue;21/04/1999;24202;IN
296;William;Reagan;Apalachee Parkway;31/12/2004;48166;CA
297;Dwight;Polk;Bailard Avenue;30/09/2001;47710;MA
298;Theodore;Nixon;E Fowler Avenue;06/02/1998;98012;AZ
299;Dwight;Fillmore;Castillo Drive;13/07/2000;70279;SD
300;Ulysses;Roosevelt;Tully Road East;06/10/2006;23090;CO
301;Bill;Grant;N Kentwood;04/01/2001;86265;TX
302;Warren;Quincy Adams;Santa Rosa North;02/06/2005;98795;MD
303;Ronald;Jackson;North Broadway Street;02/07/2003;27449;IA
304;Thomas;Polk;Fontaine Road;19/10/2005;77572;OK
305;Richard;Harding;Apalachee Parkway;17/08/2001;82631;WI
306;Grover;Nixon;Carpinteria North;07/02/2004;54132;HI
307;Rutherford;Arthur;San Marcos;18/04/2004;38416;WA
308;Herbert;Clinton;Katella Avenue;10/10/2005;81892;IA
309;James;Eisenhower;Woodson Rd.;17/04/2000;71320;MS
310;Gerald;Truman;South Roosevelt Drive;08/12/2001;70658;MD
311;Millard;Madison;North Ventu Park Road;03/07/2000;21060;CT
312;Harry;Madison;Bayshore Freeway;21/05/2005;55582;ID
313;Millard;Carter;Bayshore Freeway;03/10/2004;25147;NM
314;Grover;Van Buren;East 1st Street;19/04/2002;27355;NM
315;James;Fillmore;Fairview Avenue;26/04/2001;84688;MN
316;Herbert;Grant;Redwood Highway;24/06/1999;43654;TX
317;Woodrow;Truman;San Marcos;15/12/1998;91472;TX
318;Warren;Cleveland;Camelback Rd;12/04/2005;81829;WI
319;Warren;Hoover;Santa Rosa South;07/09/2001;46280;NM
320;Jimmy;Pierce;Hutchinson Rd;28/02/1998;82859;DE
321;Herbert;Roosevelt;North Ventu Park Road;12/02/1998;18459;MI
322;Millard;Ford;Jean de la Fontaine;24/10/1999;96543;NH
323;Ronald;Harrison;San Ysidro Blvd;01/06/2001;26743;TN
324;Andrew;Wilson;Cerrillos Road;16/12/2000;77937;AK
325;Theodore;Roosevelt;East Fry Blvd.;30/11/2004;21321;LA
326;Dwight;Harding;Lake Tahoe Blvd.;11/10/2000;55071;KS
327;Andrew;Truman;North Erringer Road;28/04/2006;57159;TN
328;Richard;Hayes;Timberlane Drive;01/12/2006;37869;IL
329;Franklin;Taylor;S Rustle St;01/08/2001;28572;MS
330;Woodrow;Quincy Adams;Padre Boulevard;01/03/2005;28361;ME
331;Benjamin;Taylor;Katella Avenue;02/05/2002;45041;UT
332;Calvin;Taft;Woodson Rd.;23/09/2006;42118;KY
333;Grover;Ford;Santa Rosa South;07/01/2005;98281;MA
334;Lyndon;Kennedy;Cabrillo Highway;28/02/2002;50962;PA
335;Harry;Washington;North Atherton Street;12/08/2001;10568;TX
336;Rutherford;Madison;North Preisker Lane;13/11/2001;26894;SC
337;Ulysses;Harrison;Via Real;12/12/2004;24309;NJ
338;Grover;Fillmore;Jones Road;18/04/2001;87297;NY
339;Abraham;Nixon;Moreno Drive;16/09/1998;52858;FL
340;Grover;Tyler;Santa Rosa South;12/09/2005;21387;VA
341;Theodore;Harding;East Fry Blvd.;04/01/2001;22579;SC
342;Calvin;Coolidge;Santa Rosa South;24/07/2006;87896;CT
343;Benjamin;Eisenhower;South Roosevelt Drive;25/08/1998;46189;OR
344;Andrew;Arthur;San Luis Obispo North;16/08/1999;24029;GA
345;Ronald;Roosevelt;Bowles Avenue;29/11/2003;67305;RI
346;Millard;Harding;Bowles Avenue;18/07/1999;45651;NY
347;Benjamin;Roosevelt;Jean de la Fontaine;01/02/2000;56277;MD
348;Lyndon;Roosevelt;South Highway;08/03/2006;58741;ND
349;Abraham;Carter;Castillo Drive;13/07/2000;37254;NJ
350;John;Cleveland;Newbury Road;12/07/2003;52072;WV
351;Richard;Arthur;Katella Avenue;02/06/2005;36510;NH
352;William;Jefferson;San Marcos;15/03/2000;51179;RI
353;Herbert;Arthur;Harbor Dr;26/01/2000;42000;HI
354;Herbert;Roosevelt;Bowles Avenue;26/08/2003;83532;PA
355;Gerald;Harrison;Cabrillo Highway;02/12/2003;64201;HI
356;Gerald;Wilson;N Kentwood;28/11/1999;64992;AR
357;Herbert;Pierce;Fairview Avenue;21/02/1999;28160;NC
358;Woodrow;Quincy Adams;North Erringer Road;03/01/2002;57510;DE
359;Gerald;Arthur;Pacific Hwy S;04/11/1999;36837;AR
360;William;Monroe;Tully Road East;13/01/2005;88066;NJ
361;Dwight;Jefferson;Apalachee Parkway;05/12/2000;15658;IN
362;William;Fillmore;North Broadway Street;11/10/2000;68859;OK
363;Richard;Monroe;Lindbergh Blvd;27/07/2004;88338;CT
364;Benjamin;Roosevelt;N Kentwood;29/12/2006;88770;WV
365;Chester;Grant;Bowles Avenue;19/04/1998;63962;ME
366;Theodore;Ford;Bayshore Freeway;10/05/2003;86039;IL
367;Grover;McKinley;Jean de la Fontaine;22/09/2001;15289;MD
368;Gerald;Roosevelt;Padre Boulevard;15/12/1998;72219;WY
369;Dwight;Monroe;Greenwood Road;28/11/2001;58345;IL
370;Abraham;Taft;Santa Monica Road;22/06/2006;97372;CT
371;Harry;Jackson;Timberlane Drive;21/04/2002;53215;NE
372;Theodore;Arthur;Richmond Hill;26/12/2003;46510;WY
373;James;Hayes;Pacific Hwy S;14/05/2005;36134;AK
374;Thomas;Cleveland;Carpinteria North;02/05/2001;77297;WI
375;James;Taft;S Rustle St;16/10/2000;32799;MI
376;James;Jefferson;Via Real;11/03/2004;78983;MD
377;Theodore;Harrison;Jean de la Fontaine;30/04/2004;62949;SD
378;Theodore;Jackson;Carpinteria South;18/09/2001;42613;RI
379;Franklin;Kennedy;Fontaine Road;18/04/2003;66165;MN
380;Abraham;Reagan;N Harrison St;27/10/2004;82463;PA
381;William;Harrison;Redwood Highway;18/08/2006;18964;AK
382;Rutherford;Johnson;Redwood Highway;11/02/2000;18736;OK
383;Chester;Johnson;Timberlane Drive;30/08/2001;63105;KY
384;Bill;Harrison;Lawrenceville Suwanee;27/05/1999;51515;RI
385;Zachary;Adams;Cleveland Ave.;01/06/2006;15160;VT
386;Rutherford;Johnson;South Roosevelt Drive;11/11/2004;95946;WY
387;Bill;Coolidge;South Highway;13/08/2001;57340;NE
388;John;Quincy Adams;San Luis Obispo North;06/11/2006;28693;MI
389;Benjamin;Ford;Hutchinson Rd;07/04/2003;89561;NM
390;Grover;Washington;Greenwood Road;06/04/2005;35628;MT
391;Gerald;Nixon;Camelback Rd;13/11/2005;82766;ME
392;Ulysses;Carter;Hutchinson Rd;16/08/2000;70785;AL
393;Woodrow;Quincy Adams;Bailard Avenue;21/04/2003;83493;NE
394;Jimmy;Johnson;East 1st Street;14/09/1999;46543;WI
395;Franklin;Johnson;15th;03/04/2006;49702;OK
396;Martin;Jefferson;French Camp Turnpike Road;28/10/1999;35073;IN
397;Rutherford;Eisenhower;Carpinteria North;08/05/2002;57835;OR
398;Calvin;Taft;East Calle Primera;08/10/2005;31050;WA
399;Bill;Carter;Padre Boulevard;08/11/2002;71145;ND
400;Grover;Truman;Harry S Truman Blvd;29/04/1998;85575;RI
401;Calvin;Jefferson;Bayshore Freeway;10/01/2005;79266;HI
402;Ronald;Johnson;Burnett Road;31/05/1998;91387;IL
403;Millard;Van Buren;Corona Del Mar;07/02/2005;69021;ID
404;Franklin;Wilson;Erringer Road;26/11/2001;29294;WV
405;Franklin;Reagan;North Ventu Park Road;20/11/1998;96512;WY
406;Lyndon;Coolidge;Westside Freeway;07/01/2001;45889;HI
407;Warren;Washington;Harbor Dr;14/12/2005;10425;WI
408;Andrew;Pierce;Castillo Drive;13/05/2002;92478;AK
409;Woodrow;Truman;Lawrenceville Suwanee;15/07/2000;86611;VA
410;Ulysses;Lincoln;Apalachee Parkway;31/07/2005;25273;HI
411;Herbert;Madison;Apalachee Parkway;17/12/2000;53888;NH
412;Woodrow;Jefferson;Richmond Hill;27/08/2005;76858;MT
413;Abraham;Lincoln;Jones Road;08/10/2002;21134;DE
414;Gerald;Taylor;E Fowler Avenue;20/10/2000;78854;MI
415;Dwight;Roosevelt;Woodson Rd.;06/06/1998;65602;SD
416;Benjamin;Truman;Santa Rosa North;04/01/2006;45900;WA
417;Thomas;Harding;Bailard Avenue;06/09/2002;12471;WV
418;George;Adams;W. Russell St.;19/03/2000;50817;CO
419;Chester;Van Buren;Pacific Hwy S;11/07/2002;35697;IA
420;Lyndon;Ford;Cleveland Ave.;20/01/2005;21071;VT
